*------------------------------------------------------------------------------------------
*--------------------------------------------- System Registers ---------------------------
*------------------------------------------------------------------------------------------
*------------------------------------------------------------------------------------------
* RegName           	        RegAddr     RegMask      R     W     Description
*------------------------------------------------------------------------------------------
clock_source			00000004    00030000	 1     1
*
system_fmc_l12_pwr_en		00000005    10000000	 1     1
system_fmc_l8_pwr_en		00000005    20000000	 1     1
system_fmc_pg_c2m		00000005    40000000     1     1
*
i2c_settings        		0000000d    ffffffff     1     1
  i2c_enable            	0000000d    00000800     1     1
  i2c_bus_select        	0000000d    00000400     1     1
  i2c_prescaler         	0000000d    000003ff     1     1
*		                
i2c_command         		0000000e    ffffffff     1     1
  i2c_strobe 	  		0000000e    80000000     1     1  * autoclear removed
  i2c_mode16 	  		0000000e    02000000     1     1 
  i2c_mem	 	  	0000000e    01000000     1     1 
  i2c_write 	  		0000000e    00800000     1     1 
  i2c_slvaddr_7b  		0000000e    007f0000     1     1 
  i2c_regaddr 	  		0000000e    0000ff00     1     1 
  i2c_wrdata  			0000000e    000000ff     1     1 
*		                
i2c_reply			0000000f    ffffffff     1     0
  i2c_reply_status      	0000000f    0c000000     1     0
  i2c_reply_error       	0000000f    08000000     1     0
  i2c_reply_done        	0000000f    04000000     1     0
  i2c_reply_8b		    	0000000f    000000ff     1     0
  i2c_reply_16b		    	0000000f    0000ffff     1     0
*
user_ipb_stat_regs		40000000    ffffffff     1     1

*------------------------------------------------------------------------------------------
*----------------------------------------------- Cnfg Registers ---------------------------
*------------------------------------------------------------------------------------------
*------------------------------------------------------------------------------------------
* RegName           	                RegAddr     RegMask      R     W     Description
*------------------------------------------------------------------------------------------
ipb_daq_system_cnfg			40010000    ffffffff     1     1
* Hybrid Enable Block
   cnfg_hybrid_enable			40010001    0000ffff     1     1
   cnfg_chips_enable_hyb_00		40010002    000000ff     1     1
   cnfg_chips_enable_hyb_01		40010002    0000ff00     1     1
   cnfg_chips_enable_hyb_02		40010002    00ff0000     1     1
   cnfg_chips_enable_hyb_03		40010002    ff000000     1     1
   cnfg_chips_enable_hyb_04		40010003    000000ff     1     1
   cnfg_chips_enable_hyb_05		40010003    0000ff00     1     1
   cnfg_chips_enable_hyb_06		40010003    00ff0000     1     1
   cnfg_chips_enable_hyb_07		40010003    ff000000     1     1
   cnfg_chips_enable_hyb_08		40010004    000000ff     1     1
   cnfg_chips_enable_hyb_09		40010004    0000ff00     1     1
   cnfg_chips_enable_hyb_10		40010004    00ff0000     1     1
   cnfg_chips_enable_hyb_11		40010004    ff000000     1     1
   cnfg_chips_enable_hyb_12		40010005    000000ff     1     1
   cnfg_chips_enable_hyb_13		40010005    0000ff00     1     1
   cnfg_chips_enable_hyb_14		40010005    00ff0000     1     1
   cnfg_chips_enable_hyb_15		40010005    ff000000     1     1
* TTC Block
   cnfg_ttc_enable			40010006    00000001     1     1
* I2C (Command Processor) Block
   cnfg_i2c_settings_map_slave_0_config				40011000	FFFFFFFF	1     1
   cnfg_i2c_settings_map_slave_0_config_i2c_address		40011000	fe000000	1     1
   cnfg_i2c_settings_map_slave_0_config_stop_for_rd_en		40011000	01000000	1     1
   cnfg_i2c_settings_map_slave_0_config_nack_en			40011000	00800000	1     1
   cnfg_i2c_settings_map_slave_0_config_register_address_nbytes 40011000	00000C00	1     1
   cnfg_i2c_settings_map_slave_0_config_data_wr_nbytes		40011000	000003E0	1     1
   cnfg_i2c_settings_map_slave_0_config_data_rd_nbytes		40011000	0000001F	1     1
   cnfg_i2c_settings_map_slave_1_config				40011001	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_2_config				40011002	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_3_config				40011003	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_4_config				40011004	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_5_config				40011005	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_6_config				40011006	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_7_config				40011007	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_8_config				40011008	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_9_config				40011009	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_10_config			4001100A	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_11_config			4001100B	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_12_config			4001100C	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_13_config			4001100D	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_14_config			4001100E	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_15_config			4001100F	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_16_config			40011010	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_17_config			40011011	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_18_config			40011012	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_19_config			40011013	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_20_config			40011014	FFFFFFFF	1     1	
   cnfg_i2c_settings_map_slave_21_config			40011015	FFFFFFFF	1     1		
   cnfg_i2c_settings_map_slave_22_config			40011016	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_23_config			40011017	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_24_config			40011018	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_25_config			40011019	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_26_config			4001101A	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_27_config			4001101B	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_28_config			4001101C	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_29_config			4001101D	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_30_config			4001101E	FFFFFFFF	1     1			
   cnfg_i2c_settings_map_slave_31_config			4001101F	FFFFFFFF	1     1	
* Fast Command Block
   cnfg_fast_triggers_to_accept 	40012000    ffffffff	 1     1
   cnfg_fast_user_frequency     	40012001    ffffffff	 1     1
   cnfg_fast_source             	40012002    0000000f	 1     1
   cnfg_fast_stub_mask               	40012003    0000ffff	 1     1
   cnfg_fast_stub_veto_length           40012003    01ff0000	 1     1
   cnfg_fast_delay_after_fast_reset	40012004    ffffffff	 1     1
   cnfg_fast_delay_after_test_pulse	40012005    ffffffff	 1     1
   cnfg_fast_delay_before_next_pulse	40012006    ffffffff	 1     1
   cnfg_fast_stub_trigger_delay		40012007    000001ff	 1     1
   cnfg_fast_ext_trigger_delay_value    40012007    0003fe00     1     1
   cnfg_fast_delay_after_antenna_trigger	40012007    07fc0000	 1     1
   cnfg_fast_delay_between_consecutive_trigeers 40012008    0000ffff	 1     1
   cnfg_fast_backpressure_enable	40012009    00000001     1     1
   cnfg_fast_stubor_enable		40012009    00000002     1     1
   cnfg_fast_initial_fast_reset_enable  40012009    00000004     1     1
* Physical Interface Abstraction Layer
   cnfg_phy_slvs_raw_mode_en		40013000    00000001     1     1
   cnfg_phy_i2c_freq                    40013001    0000000f     1     1
   cnfg_phy_i2c_master_en		40013001    00000100     1     1
   cnfg_phy_SSA_gen_trig_data_format    40013004    0000000f     1     1
   cnfg_phy_SSA_gen_delay_trig_data     40013004    00001f00     1     1
   cnfg_phy_SSA_gen_delay_stub_data     40013004    001f0000     1     1
   cnfg_phy_SSA_gen_left_lateral_data_format 	40013005    000000ff     1     1
   cnfg_phy_SSA_gen_right_lateral_data_format 	40013005    0000ff00     1     1
   cnfg_phy_SSA_gen_delay_lateral_data  	40013005    001f0000     1     1
   cnfg_phy_SSA_gen_stub_data_format_0_0	40013006    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_0_1	40013007    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_1_0	40013008    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_1_1	40013009    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_2_0	4001300a    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_2_1	4001300b    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_3_0	4001300c    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_3_1	4001300d    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_4_0	4001300e    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_4_1	4001300f    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_5_0	40013010    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_5_1	40013011    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_6_0	40013012    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_6_1	40013013    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_7_0	40013014    ffffffff	 1     1	
   cnfg_phy_SSA_gen_stub_data_format_7_1	40013015    ffffffff	 1     1	
* Readout Block
   cnfg_readout_packet_nbr		40015000    0000ffff	 1     1
   cnfg_readout_data_handshake_enable	40015001    00000001	 1     1
   cnfg_readout_int_trig_enable		40015001    00000004	 1     1
   cnfg_readout_int_trig_rate		40015001    000001f0	 1     1
   cnfg_readout_zero_suppression_enable	40015001    00000200	 1     1
   cnfg_readout_trigger_type		40015001    0000f000	 1     1
