
                ,         0,         0,         0,2147483647,  60124451,  60124463,    60.007
                ,         0,         0,         0,2147483647,  60123791,  60123803,    60.006
                ,         0,         0,         0, 401142774,  10028557,  10028569,    10.010
                ,         0,         0,         0, 200835809,   5020883,   5020895,     5.012
                ,     13108,     14498,         0,     13108,         0,     14510,     5.004
                ,         0,         0,         0, 200875488,   5021875,   5021887,     5.013
                ,         0,         0,         0, 200625883,   5015635,   5015647,     5.006
                ,         0,         0,         0, 200740556,   5018501,   5018513,     5.009
                ,         0,         0,         0, 200716482,   5017900,   5017912,     5.008
                ,         0,         0,         0, 200826022,   5020638,   5020650,     5.011
                ,         0,         0,         0, 200759735,   5018981,   5018993,     5.010
                ,         0,         0,         0, 200790828,   5019758,   5019770,     5.010
                ,         0,         0,         0, 200884672,   5022104,   5022116,     5.013
                ,         0,         0,         0, 200776403,   5019398,   5019410,     5.010
                ,         0,         0,         0, 200557106,   5013915,   5013927,     5.005
                ,         0,         0,         0, 200799242,   5019969,   5019981,     5.011
                ,  19.158,  28.137,  14.957,         0,         0,         0, 200917402,   5022923,   5022935,     5.013
                ,  18.115,  29.026,  15.049,         0,         0,         0, 200895716,   5022380,   5022392,     5.013
                ,  18.163,  28.971,  15.030,         0,         0,         0, 203563738,   5089081,   5089093,     5.079
